objectid,filename,title,format,type,youtubeid,vimeoid,latitude,longitude,subject,city,county,state,country,organization,description,date,speciality,website,facebook,instagram,tiktok,X,youtubechannel,email,phonenumber,address
pi_001,acadian.jpg,Acadiana Paranormal Research Society,image/jpeg,Image;StillImage,,,,,,,,,,Acadiana Paranormal Research Society,,,,https://acadianaparanormal.wixsite.com/website,,,,,,,,
pi_002,aspr.jpg,American Society for Psychical Research,image/jpeg,Image;StillImage,,,,,,,,,,American Society for Psychical Research,,,,http://www.aspr.com/,,,,,,,,
pi_003,assap.jpg,Association for the Scientific Study of Anomalous Phenomena,image/jpeg,Image;StillImage,,,,,,,,,,Association for the Scientific Study of Anomalous Phenomena,,,,https://www.assap.ac.uk/,,,,,,,,
pi_004,bigfoot.jpg,Bigfoot UFO Mysterious Paranormal Seekers,image/jpeg,Image;StillImage,,,,,,,,,,Bigfoot UFO Mysterious Paranormal Seekers,,,,https://bumpsparanormal.weebly.com/,,,,,,,,
pi_005,bnp.jpg,Bloomington Normal Paranormal,image/jpeg,Image;StillImage,,,,,,,,,,Bloomington Normal Paranormal,,,,https://www.bloomingtonnormalparanormal.com/,,,,,,,,
pi_006,caps.jpg,Capital Area Paranormal Society,image/jpeg,Image;StillImage,,,,,,,,,,Capital Area Paranormal Society,,,,https://www.capsinvestigations.com/,,,,,,,,
pi_007,dars.jpg,Death After Life Research Society,image/jpeg,Image;StillImage,,,,,,,,,,Death After Life Research Society,,,,https://www.darsparanormalinvestigations.com/contact.html,,,,,,,,
pi_008,dpi.jpg,Derby Paranormal Investigators,image/jpeg,Image;StillImage,,,,,,,,,,Derby Paranormal Investigators,,,,https://paranormalderby.co.uk/index.html#/,,,,,,,,
pi_009,ghost_club.jpg,The Ghost Club,image/jpeg,Image;StillImage,,,,,,,,,,The Ghost Club,,,,https://www.ghostclub.org.uk/,,,,,,,,
pi_010,ghost_research_society.jpg,Ghost Research Society,image/jpeg,Image;StillImage,,,,,,,,,,Ghost Research Society,,,,https://www.ghostresearch.org/,,,,,,,,
pi_011,glprt.jpg,Great Lakes Paranormal Research Team,image/jpeg,Image;StillImage,,,,,,,,,,Great Lakes Paranormal Research Team,,,,https://glprt.weebly.com/,,,,,,,,
pi_012,ipr.jpg,Illionois Paranormal Researchers,image/jpeg,Image;StillImage,,,,,,,,,,Illionois Paranormal Researchers,,,,http://iprparanormal.weebly.com/,,,,,,,,
pi_013,last_gasp.jpg,Last Gasp Paranormal,image/jpeg,Image;StillImage,,,,,,,,,,Last Gasp Paranormal,,,,http://lastgasps.com/page31.html,,,,,,,,
pi_014,nwpor.jpg,Northwest Paranormal and Occult Research,image/jpeg,Image;StillImage,,,,,,,,,,Northwest Paranormal and Occult Research,,,,https://www.nwparanormaloccultresearch.com/,,,,,,,,
pi_015,pcpi.jpg,Pacific Coast Paranormal Investigations,image/jpeg,Image;StillImage,,,,,,,,,,Pacific Coast Paranormal Investigations,,,,https://www.pacificcoastparanormal.com/,,,,,,,,
pi_016,pgs.jpg,Portersville Ghost Society,image/jpeg,Image;StillImage,,,,,,,,,,Portersville Ghost Society,,,,https://portervilleghostsociety.com/,,,,,,,,
pi_017,piro.jpg,Paranormal Investigation and Research Organization,image/jpeg,Image;StillImage,,,,,,,,,,Paranormal Investigation and Research Organization,,,,https://chargerconnection.newhaven.edu/organization/piro,,,,,,,,
pi_018,pnz.jpg,Paranormal New Zealand,image/jpeg,Image;StillImage,,,,,,,,,,Paranormal New Zealand,,,,https://hauntedauckland.com/,,,,,,,,
pi_019,rhine.jpg,The Rhine,image/jpeg,Image;StillImage,,,,,,,,,,The Rhine Research Center,,,,https://www.rhineonline.org/,,,,,,,,
pi_020,scars.jpg,So-Cal Apparition Research Society,image/jpeg,Image;StillImage,,,,,,,,,,So-Cal Apparition Research Society,,,,https://scarsociety.com/index.html#/,,,,,,,,
pi_021,spirits.jpg,"Supernatural, Paranormal, Investigations, Research, Intuitive, Truth Society",image/jpeg,Image;StillImage,,,,,,,,,,"Supernatural, Paranormal, Investigations, Research, Intuitive, Truth Society",,,,http://www.spiritsofnewengland.org/,,,,,,,,
pi_022,spr.jpg,Society of Psychical Research,image/jpeg,Image;StillImage,,,,,,,,,,Society of Psychical Research,,,,https://www.spr.ac.uk/,,,,,,,,
pi_023,taps.jpg,The Atlantic Paranormal Society,image/jpeg,Image;StillImage,,,,,,,,,,The Atlantic Paranormal Society,,,,https://the-atlantic-paranormal-society.com/,,,,,,,,
pi_024,wspir.jpg,Washington State Paranormal Investigations and Research,image/jpeg,Image;StillImage,,,,,,,,,,Washington State Paranormal Investigations and Research,,,,http://www.wspir.com/,,,,,,,,